sno,sna,tot,dis,INDEX,Station,
120,捷運龍山寺站(1號出口),46,49.00494742,BL10,龍山寺,0
121,龍江南京路口,66,354.5285904,BR11,南京復興,0
122,捷運港墘站(2號出口),50,86.39054944,BR17,港墘,0
123,天母運動公園,44,1705.448622,R18,明德,1
124,振華公園,36,301.5591111,R19,石牌,2
125,華西公園,30,393.7074698,BL10,龍山寺,2
126,敦化基隆路口,30,517.4606485,BR07,六張犁,2
127,東湖國中,40,1061.247591,BR22,東湖,1
128,成功國宅,36,339.9750475,BR08,科技大樓,2
129,捷運文德站(2號出口),50,23.53726866,BR18,文德,0
130,羅斯福寧波東街口,26,183.3016644,R08,中正紀念堂,2
131,洲子二號公園,52,346.0722461,BR16,西湖,0
132,羅斯福新生南路口,88,163.0249354,G07,公館,0
133,蘭興公園,40,746.9290774,R18,明德,2
134,捷運芝山站(2號出口),64,35.31110383,R17,芝山,0
135,捷運石牌站(2號出口),54,11.93243412,R19,石牌,0
136,國立臺北護理健康大學,30,345.2170607,R19,石牌,2
137,國防大學,46,769.286105,R23,復興崗,2
138,捷運永春站(2號出口),30,98.63687711,BL19,永春,2
139,永樂市場,38,551.3090841,G13,北門,2
140,捷運大橋頭站(2號出口),46,25.16413829,O12,大橋頭,0
141,文山行政中心,36,980.4537391,BR02,木柵,1
142,捷運木柵站,52,133.3211538,BR02,木柵,0
143,捷運動物園站(2號出口),72,84.06197573,BR01,動物園,0
144,國立政治大學,58,1129.366756,BR01,動物園,1
145,樹德公園,40,514.7065291,O12,大橋頭,2
146,捷運士林站(2號出口),46,114.7671885,R16,士林,0
147,士林運動中心,32,580.4088293,R15,劍潭,2
148,捷運明德站,68,86.42919333,R18,明德,0
149,北投運動中心,62,577.8262358,R20,唭哩岸,0
150,松德公園,38,557.542981,BL19,永春,2
151,考試院,34,996.0799959,G04,大坪林,1
152,百齡國小,40,595.6534855,R15,劍潭,2
153,蔣渭水紀念公園,36,453.1697903,R13,民權西路,2
154,中正基河路口,38,640.9411107,R16,士林,2
155,瑞光港墘路口,30,426.444237,BR17,港墘,2
156,東湖國小,38,425.1268066,BR22,東湖,2
157,麗山國小,42,433.0799097,BR16,西湖,2
158,捷運東湖站,48,212.4458799,BR22,東湖,0
159,捷運西湖站(1號出口),36,96.77103319,BR16,西湖,2
161,大豐公園,56,522.7283121,R22,北投,0
162,捷運中山國小站(4號出口),70,133.5159407,O10,中山國小,0
163,捷運麟光站,72,69.2090477,BR06,麟光,0
164,捷運奇岩站,56,94.47208188,R21,奇岩,0
165,捷運唭哩岸站(2號出口),62,57.04848821,R20,唭哩岸,0
166,臺北市立景美女中,34,1464.438076,G03,七張,1
167,臺北市立天文館,50,859.0011997,R16,士林,1
168,河堤國小,44,386.6292528,G09,古亭,2
169,植物園,44,624.0586979,G11,小南門,2
170,新東公園,50,943.2464072,G18,南京三民,1
171,文山運動中心,38,320.6904013,BR04,萬芳醫院,2
172,捷運南京三民站(1號出口),24,183.308007,G18,南京三民,2
173,捷運松江南京站(7號出口),56,22.98690654,G15,松江南京,0
174,捷運小巨蛋站(5號出口),48,154.5414076,G17,台北小巨蛋,0
175,捷運南京復興站(5號出口),52,114.7510493,BR11,南京復興,0
176,興安華城,94,443.1078806,BR11,南京復興,0
177,葫蘆國小,40,1727.37182,O50,三重國小,1
178,延平國宅,32,1297.036994,R14,圓山,1
179,南港公園,52,923.5840417,BL20,後山埤,1
180,福華商場,40,1345.448484,BR18,文德,1
181,建國和平路口,52,610.740192,BR08,科技大樓,0
182,捷運古亭站(2號出口),50,135.2400736,G09,古亭,0
183,圓環站,32,619.5280609,G13,北門,2
184,劍潭社區,42,1080.29637,BR14,大直,1
185,?公公園,30,243.2762208,BR10,忠孝復興,2
186,臺北市立大學,82,338.9360592,G11,小南門,0
187,仁愛延吉街口,34,477.9855065,BL17,國父紀念館,2
188,社子國小,56,2163.702555,O51,三和國中,1
189,金瑞公園(金龍路),38,820.3032945,BR19,內湖,2
190,捷運大直站(3號出口),40,30.74894533,BR14,大直,2
191,捷運大湖公園站(2號出口),58,8.73147275,BR20,大湖公園,0
192,捷運葫洲站(1號出口),44,83.78791577,BR21,葫洲,2
193,舊莊區民活動中心,36,1569.058827,BR24,南港展覽館,1
194,市民林森路口,50,368.3067822,BL13,善導寺,0
195,信義杭州路口(中華電信總公司),50,528.0743575,R07,東門,0
196,新湖國小,20,1177.891019,BR18,文德,1
197,饒河夜市(八德路側),34,587.1686556,G19,松山,2
201,東陽公園,44,880.626815,BL21,昆陽,1
202,捷運關渡站,60,112.2493283,R25,關渡,0
203,古亭國中,40,1200.742843,R08,中正紀念堂,1
204,臺北市立大學(天母校區),42,1905.952947,R17,芝山,1
205,木柵光輝路口,24,1265.471425,BR04,萬芳醫院,1
206,捷運辛亥站,32,11.24573327,BR05,辛亥,2
207,福安國中,30,2433.912295,O53,三民高中,1
208,龍山國小,46,452.78697,BL10,龍山寺,2
209,捷運復興崗站,42,74.91921652,R23,復興崗,2
210,樂群二敬業四路口,60,620.9249877,BR15,劍南路,0
211,星雲金湖街口,40,424.6928526,BR19,內湖,2
212,北安大直街口,50,587.2088698,BR14,大直,0
213,蘭雅國小,30,479.9791415,R18,明德,2
214,基河一期國宅,54,653.7008418,G19,松山,0
215,捷運北門站(3號出口),62,45.69310853,G13,北門,0
216,培英公園,50,412.7507021,BR14,大直,0
217,臺北花市,40,1435.368492,G19,松山,1
218,松山高中,42,262.147518,BL18,市政府,2
219,大理高中,38,1024.295459,BL10,龍山寺,1
220,大稻埕公園,36,506.6558795,O12,大橋頭,2
221,泰和公園,40,1239.989543,BR06,麟光,1
222,撫順公園,30,307.1484398,R13,民權西路,2
223,清江國小,40,653.0880501,R21,奇岩,2
224,社正公園,40,1511.743603,R15,劍潭,1
225,臥龍樂業街口,40,398.275663,BR06,麟光,2
226,向陽南港路口,32,444.7461512,BL21,昆陽,2
227,麗山高中,40,495.6851127,BR17,港墘,2
228,捷運萬芳社區站,32,32.98481148,BR03,萬芳社區,2
229,市民太原路口,34,446.3142384,G13,北門,2
230,湖光國宅,36,531.2198598,BR18,文德,2
231,內政部營建署,40,512.1622205,BR11,南京復興,2
232,中山天母路口,44,1493.660476,R18,明德,1
233,捷運忠義站,50,89.66778959,R24,忠義,0
234,永欣綠地,38,1506.269404,R19,石牌,1
235,市民東興路口,30,375.6092198,G18,南京三民,2
236,關渡自然公園,36,734.2777552,R25,關渡,2
237,文山第二行政中心,38,706.3775507,BR04,萬芳醫院,2
238,瑞湖陽光街口,32,773.3878887,BR17,港墘,2
239,新明路321巷口,48,973.7202901,G19,松山,1
240,南京建國路口,58,375.6974629,G15,松江南京,0
241,林口公園,38,357.7738677,BL19,永春,2
242,關渡宮,40,990.4103877,R25,關渡,1
243,社子公園,30,1989.489224,R15,劍潭,1
244,復興市民路口,46,475.8136351,BR10,忠孝復興,2
245,捷運中山國中站,44,31.36891775,BR12,中山國中,2
246,國立故宮博物院,40,1719.53711,BR15,劍南路,1
247,木柵公園,34,1383.913938,BR04,萬芳醫院,1
248,喬治工商,32,446.5571324,BR07,六張犁,2
249,中華桂林路口,32,489.3903135,G11,小南門,2
250,忠孝東路三段217巷口,38,392.9927991,BR10,忠孝復興,2
251,華齡公園,36,487.2578384,R15,劍潭,2
252,大安運動中心,34,658.0030657,BR08,科技大樓,2
253,芝山抽水站,34,580.6626216,R17,芝山,2
254,立功立德路口,58,441.8687258,R25,關渡,0
255,光復南路22巷口,30,618.9344987,BL17,國父紀念館,2
256,中山中正路口,40,355.3071397,R16,士林,2
257,錦德公園,34,1514.735805,BL10,龍山寺,1
258,聯合醫院中興院區,40,359.4900903,G13,北門,2
259,南京遼寧街口,36,195.7469465,BR11,南京復興,2
260,民權瑞光路口,36,1105.333507,BR18,文德,1
261,健康新城,44,467.7404469,G18,南京三民,2
262,永安藝文館-表演36房,28,1608.691266,BR03,萬芳社區,1
263,至善臨溪路口,38,1651.778471,R16,士林,1
